EarthquakeId,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,EarthquakeMagnitude,EarthquakeMagnitudeType,Network,DataProvider,StationCode,StationID,StationDescription,StationLatitude,StationLongitude,StationElevation,SamplingRate,BackAzimuth,EpicentralDistance,HypocentralDistance,SourceFile,RuptureDistance,RuptureDistanceVar,JoynerBooreDistance,JoynerBooreDistanceVar,GC2_rx,GC2_ry,GC2_ry0,GC2_U,GC2_T,H1Lowpass,H1Highpass,H2Lowpass,H2Highpass,DURATION5-75,DURATION5-95,PGA,PGV,SA(0.010),SA(0.020),SA(0.030),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),SORTED_DURATION,Vs30,Z1.0,Z2.5
nc71734741,2012-02-13T21:07:02.770000Z,41.14317,-123.79033,27.36,5.6,mw,TA,IRIS-DMC,G03D,TA.G03D.BH,"McMinnville, OR, USA",45.2115,-123.2641,222.0,40,185.59,453.99,455.22,TA.G03D..BHE.mseed,451.64,4.71,450.81,4.85,,,,,,13.53474,0.02699,13.53474,0.02699,,,0.0036287754,0.014609205,-0.0036302011,-0.0036318273,-0.0036336561,-0.0036474454,-0.0036503282,0.0037091456,0.0054798371,0.0041251569,0.0043098263,0.0043989055,0.0051860648,0.0051953061,0.0079295709,0.0083484094,0.011018062,0.012743782,0.010228223,0.0062761012,0.0030121065,0.0015234992,0.00083035116,,600.0,39.0,37.0
nc72182046,2014-03-10T05:18:13.430000Z,40.82867,-125.13383,16.44,6.8,mw,TA,IRIS-DMC,G03D,TA.G03D.BH,"McMinnville, OR, USA",45.2115,-123.2641,222.0,40,198.02,510.16,510.73,TA.G03D..BHE.mseed,499.33,59.02,498.97,59.7,,,,,,15.0,0.02323,15.0,0.02323,,,0.01488405,0.15799381,-0.75382702,-0.43229798,-0.2991114,-0.17458432,-0.079399505,0.052830062,0.053648555,0.037434511,0.030564339,0.033450004,0.035157158,0.023189923,0.021890681,0.021377461,0.028688187,0.030101648,0.032286438,0.033995251,0.044420224,0.044672412,0.029235768,,600.0,39.0,37.0
nc72182046,2014-03-10T05:18:13.430000Z,40.82867,-125.13383,16.44,6.8,mw,UW,IRIS-DMC,LCCR,UW.LCCR.HH,"Clarks, OR, USA",45.2059,-122.4784,271.0,100,204.91,532.2,532.64,UW.LCCR..HHN.mseed,521.35,59.08,521.01,59.72,,,,,,24.14841,0.00767,24.14841,0.00767,,,0.021844358,0.18777728,-0.083923633,-0.048559423,-0.022025274,-0.022519675,0.027405788,0.031925281,0.033124419,0.045767845,0.045765005,0.064117174,0.05175198,0.044080103,0.030974778,0.029425432,0.04438564,0.049946855,0.050429076,0.041777671,0.042370339,0.039346568,0.047791487,,464.0,218.0,363.0
nc72182046,2014-03-10T05:18:13.430000Z,40.82867,-125.13383,16.44,6.8,mw,UW,IRIS-DMC,QDAD,UW.QDAD.HN,"Portland, OR, USA",45.4408,-122.62951,33.3,200,202.55,551.34,551.81,UW.QDAD..HNZ.mseed,540.47,59.13,540.14,59.75,,,,,,10.88188,0.04577,10.88188,0.04577,,,0.031982956,0.16340088,-0.032106917,-0.032449073,-0.033029933,-0.034334548,-0.04194788,-0.064158149,0.10105316,0.1383389,0.082005866,0.067103591,0.065830711,0.03878637,0.034219904,0.022601319,0.017961334,0.022093865,0.026460122,0.031130176,0.041535536,0.035284967,0.03740248,,337.0,98.0,104.0
nc72182046,2014-03-10T05:18:13.430000Z,40.82867,-125.13383,16.44,6.8,mw,UW,IRIS-DMC,QJBC,UW.QJBC.HN,"Beaverton, OR, USA",45.46355,-122.79342,57.9,200,201.1,548.92,549.42,UW.QJBC..HNE.mseed,538.05,59.12,537.72,59.74,,,,,,6.72961,0.03666,6.72961,0.03666,,,0.021399023,0.24029242,-0.021400172,-0.021403239,-0.021408396,-0.021420016,-0.021454236,-0.021626487,-0.028372705,0.04317676,0.044077357,0.052319001,0.054812984,0.041342023,0.022357952,0.023983721,0.025326376,0.03386849,0.050092902,0.058983524,0.075007815,0.049706198,0.06211556,,209.0,180.0,1765.0
nc72182046,2014-03-10T05:18:13.430000Z,40.82867,-125.13383,16.44,6.8,mw,UW,IRIS-DMC,QWAK,UW.QWAK.HN,"Portland, OR, USA",45.5657,-122.64202,50.3,200,201.91,563.82,564.3,UW.QWAK..HNZ.mseed,552.93,59.16,552.61,59.76,,,,,,6.25,0.03048,6.25,0.03048,,,0.017807686,0.20007937,-0.017808736,-0.017809869,-0.017813452,-0.017821292,-0.017851591,-0.018159795,-0.021873687,-0.03266977,0.0342199,0.047101447,0.034282998,0.022208897,0.019335762,0.020138028,0.025495588,0.036472154,0.047470093,0.046163882,0.049363201,0.044938721,0.046477018,,256.0,333.0,699.0
us10001vcb,2015-04-07T14:54:43.870000Z,43.166,-126.3541,10.0,4.5,mb,TA,IRIS-DMC,G03D,TA.G03D.BH,"McMinnville, OR, USA",45.2115,-123.2641,222.0,40,228.47,335.65,335.42,TA.G03D..BHE.mseed,334.79,0.48,334.64,0.48,,,,,,9.72655,0.51237,9.72655,0.51237,,,0.00098275028,0.00077669431,-0.00099315557,-0.00099678027,-0.001006257,-0.0010394735,-0.0011165362,-0.0017191498,0.0026359592,0.0026426851,0.0029226133,0.0024585481,0.0017925954,0.0025155324,0.002185604,0.0010381855,0.00042124951,-0.00029348789,-6.7406393e-05,-3.4115184e-05,-2.1571694e-05,-1.0860788e-05,-7.1503616e-06,,600.0,39.0,37.0
us10001vcb,2015-04-07T14:54:43.870000Z,43.166,-126.3541,10.0,4.5,mb,UW,IRIS-DMC,LCCR,UW.LCCR.HH,"Clarks, OR, USA",45.2059,-122.4784,271.0,100,235.18,383.86,383.41,UW.LCCR..HHN.mseed,382.98,0.48,382.85,0.48,,,,,,10.88188,0.41866,10.88188,0.41866,,,0.001302906,0.001295899,-0.0013069247,-0.0013180647,-0.0013328651,-0.0013943949,-0.0015652429,-0.0023762643,0.0026985653,0.0037265918,0.0041029054,0.003065167,0.0033239106,0.0037668337,0.0038239602,0.0021923031,0.0010211479,-0.00083442344,-0.00014660016,-6.6295415e-05,-4.0322679e-05,-1.9154624e-05,-1.2217362e-05,,464.0,218.0,363.0
us10004gmw,2016-01-23T18:05:39.580000Z,43.1417,-126.3146,20.45,4.9,mww,UW,IRIS-DMC,LCCR,UW.LCCR.HH,"Clarks, OR, USA",45.2059,-122.4784,271.0,100,234.57,382.98,382.96,UW.LCCR..HHN.mseed,381.98,1.09,381.45,1.12,,,,,,12.94081,0.39062,12.94081,0.39062,,,0.0012076576,0.0010757527,-0.0012195258,-0.0012280726,-0.0012439375,-0.001335907,-0.0017757345,0.0025577161,0.0026912146,0.0041728431,0.003814681,0.0027394522,0.002951303,0.0033372997,0.0023674121,0.0016206529,0.0006655283,0.00092647669,-0.00016723697,-6.6841538e-05,-3.7154743e-05,-1.5791047e-05,-9.7756874e-06,,464.0,218.0,363.0
us1000gf8u,2018-08-22T09:31:45.530000Z,43.5637,-127.7166,10.0,6.2,mww,NP,IRIS-DMC,7042,NP.7042.HN,WA:Vancouver;USGS  CVO,45.61097,-122.4963,83.0,200,243.09,472.73,471.91,NP.7042..HNE.mseed,466.89,16.88,466.76,17.03,,,,,,11.29169,0.03948,11.29169,0.03948,,,0.032786795,0.0295202,-0.032810509,-0.032958324,-0.033106562,-0.033634851,-0.03563518,-0.050916524,0.12565445,0.08779615,0.064944551,0.08497378,0.07853769,0.057382278,0.05811961,0.030613821,0.025177927,0.025718182,0.013769654,0.0060404667,0.0046746446,0.0056501974,0.0068566099,,464.0,168.0,410.0
